n,gap,trials,acceptance_pct,acc_ci_lower,acc_ci_upper,correctness_pct,median_accumulated_weight,acceptance_threshold,median_threshold_margin,aSq,bSq
4,0.0,100,83.0,74.5,89.1,83.0,0.523888,0.508750,0.015138,0.5200,0.5200
4,0.05,100,99.0,94.6,99.8,99.0,0.524641,0.483750,0.040891,0.4950,0.5450
4,0.1,100,100.0,96.3,100.0,100.0,0.524039,0.458750,0.065289,0.4700,0.5700
4,0.2,100,100.0,96.3,100.0,100.0,0.522585,0.408750,0.113835,0.4200,0.6200
4,0.3,100,100.0,96.3,100.0,100.0,0.526812,0.358750,0.168062,0.3700,0.6700
4,0.4,100,100.0,96.3,100.0,100.0,0.522858,0.308750,0.214108,0.3200,0.7200
5,0.0,100,54.0,44.3,63.4,54.0,0.509592,0.508750,0.000842,0.5200,0.5200
5,0.05,100,86.0,77.9,91.5,86.0,0.507330,0.483750,0.023580,0.4950,0.5450
5,0.1,100,99.0,94.6,99.8,99.0,0.510864,0.458750,0.052114,0.4700,0.5700
5,0.2,100,100.0,96.3,100.0,100.0,0.513104,0.408750,0.104354,0.4200,0.6200
5,0.3,100,100.0,96.3,100.0,100.0,0.509869,0.358750,0.151119,0.3700,0.6700
5,0.4,100,100.0,96.3,100.0,100.0,0.512202,0.308750,0.203452,0.3200,0.7200
6,0.0,100,22.0,15.0,31.1,22.0,0.492498,0.508750,-0.016252,0.5200,0.5200
6,0.05,100,70.0,60.4,78.1,70.0,0.495218,0.483750,0.011468,0.4950,0.5450
6,0.1,100,96.0,90.2,98.4,96.0,0.490000,0.458750,0.031250,0.4700,0.5700
6,0.2,100,100.0,96.3,100.0,100.0,0.496148,0.408750,0.087398,0.4200,0.6200
6,0.3,100,100.0,96.3,100.0,100.0,0.494678,0.358750,0.135928,0.3700,0.6700
6,0.4,100,100.0,96.3,100.0,100.0,0.488662,0.308750,0.179912,0.3200,0.7200
7,0.0,100,21.0,14.2,30.0,21.0,0.491401,0.508750,-0.017349,0.5200,0.5200
7,0.05,100,63.0,53.2,71.8,63.0,0.488601,0.483750,0.004851,0.4950,0.5450
7,0.1,100,98.0,93.0,99.4,98.0,0.494209,0.458750,0.035459,0.4700,0.5700
7,0.2,100,100.0,96.3,100.0,100.0,0.489534,0.408750,0.080784,0.4200,0.6200
7,0.3,100,100.0,96.3,100.0,100.0,0.491401,0.358750,0.132651,0.3700,0.6700
