n,gate_error_rate,trials,acceptance_pct,acc_ci_lower,acc_ci_upper,correctness_pct,cor_ci_lower,cor_ci_upper
4,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.0001,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.0005,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.002,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.005,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.01,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.02,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.05,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.1,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.2,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.5,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.0001,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.0005,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.002,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.005,50,98.0,89.5,99.6,98.0,89.5,99.6
5,0.01,50,96.0,86.5,98.9,96.0,86.5,98.9
5,0.02,50,90.0,78.6,95.7,90.0,78.6,95.7
5,0.05,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.1,50,92.0,81.2,96.8,92.0,81.2,96.8
5,0.2,50,94.0,83.8,97.9,94.0,83.8,97.9
5,0.5,50,98.0,89.5,99.6,98.0,89.5,99.6
6,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.0001,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.0005,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.002,50,8.0,3.2,18.8,8.0,3.2,18.8
6,0.005,50,8.0,3.2,18.8,8.0,3.2,18.8
6,0.01,50,6.0,2.1,16.2,6.0,2.1,16.2
6,0.02,50,4.0,1.1,13.5,4.0,1.1,13.5
6,0.05,50,6.0,2.1,16.2,6.0,2.1,16.2
6,0.1,50,4.0,1.1,13.5,4.0,1.1,13.5
6,0.2,50,8.0,3.2,18.8,8.0,3.2,18.8
6,0.5,50,12.0,5.6,23.8,12.0,5.6,23.8
7,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
7,0.0001,50,100.0,92.9,100.0,100.0,92.9,100.0
7,0.0005,50,2.0,0.4,10.5,2.0,0.4,10.5
7,0.001,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.002,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.005,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.01,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.02,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.05,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.1,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.2,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.5,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
8,0.0001,50,100.0,92.9,100.0,100.0,92.9,100.0
8,0.0005,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.001,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.002,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.005,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.01,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.02,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.05,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.1,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.2,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.5,50,0.0,0.0,7.1,0.0,0.0,7.1
