n,k,theta,acceptance_pct,acc_ci_lower,acc_ci_upper,correctness_pct,corr_ci_lower,corr_ci_upper,median_list_size,median_copies,avg_misclassification,median_weight,mean_threshold,rej_list_count,rej_weight_count,total_trials
4,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
4,2,0.3000,64.0,54.2,72.7,63.0,53.2,71.8,10,6000,0.1563,0.6361,0.6715,0,36,100
4,4,0.2250,58.0,48.2,67.2,56.0,46.2,65.3,16,6000,0.2629,0.3679,0.4018,0,42,100
4,8,0.1125,60.0,50.2,69.1,55.0,45.2,64.4,16,6000,0.3614,0.2048,0.2125,0,40,100
6,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
6,2,0.3000,48.0,38.5,57.7,48.0,38.5,57.7,2,6000,0.1453,0.5818,0.6569,0,52,100
6,4,0.2250,56.0,46.2,65.3,54.0,44.3,63.4,14,6000,0.2758,0.3784,0.3930,0,44,100
6,8,0.1125,92.0,85.0,95.9,88.0,80.2,93.0,64,6000,0.3424,0.2325,0.2277,0,8,100
8,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
8,2,0.3000,46.0,36.6,55.7,44.0,34.7,53.8,2,6000,0.1541,0.6539,0.6618,0,54,100
8,4,0.2250,46.0,36.6,55.7,45.0,35.6,54.8,3,6000,0.2664,0.3714,0.3844,0,54,100
8,8,0.1125,96.0,90.2,98.4,87.0,79.0,92.2,100,6000,0.3496,0.2318,0.2173,0,4,100
10,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
10,2,0.3000,52.0,42.3,61.5,49.0,39.4,58.7,2,6000,0.1578,0.5978,0.6404,0,48,100
10,4,0.2250,36.0,27.3,45.8,36.0,27.3,45.8,3,6000,0.2703,0.3742,0.3988,0,64,100
10,8,0.1125,49.0,39.4,58.7,47.0,37.5,56.7,13,6000,0.3409,0.2233,0.2282,0,51,100
12,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
12,2,0.3000,47.0,37.5,56.7,47.0,37.5,56.7,2,6000,0.1620,0.5962,0.6445,0,53,100
12,4,0.2250,43.0,33.7,52.8,40.0,30.9,49.8,3,6000,0.2579,0.3630,0.4092,0,57,100
12,8,0.1125,47.0,37.5,56.7,42.0,32.8,51.8,5,6000,0.3533,0.2074,0.2153,0,53,100
14,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
14,2,0.3000,53.0,43.3,62.5,53.0,43.3,62.5,2,6000,0.1550,0.6067,0.6612,0,47,100
14,4,0.2250,50.0,40.4,59.6,47.0,37.5,56.7,3,6000,0.2659,0.3797,0.4027,0,50,100
14,8,0.1125,46.0,36.6,55.7,43.0,33.7,52.8,5,6000,0.3432,0.2078,0.2211,0,54,100
16,1,0.3000,100.0,96.3,100.0,100.0,96.3,100.0,1,6000,0.0000,1.0000,0.9887,0,0,100
16,2,0.3000,49.0,39.4,58.7,49.0,39.4,58.7,2,6000,0.1376,0.6209,0.6808,0,51,100
16,4,0.2250,38.0,29.1,47.8,36.0,27.3,45.8,3,6000,0.2517,0.3712,0.3982,0,62,100
16,8,0.1125,41.0,31.9,50.8,40.0,30.9,49.8,5,6000,0.3514,0.2000,0.2180,0,59,100
