strategy,n,rejection_rate,ci_lower,ci_upper
Random list,4,0.7100,0.6146,0.7899
Random list,5,0.8800,0.8019,0.9300
Random list,6,0.9800,0.9300,0.9945
Random list,7,0.9500,0.8882,0.9785
Random list,8,0.9700,0.9155,0.9897
Random list,9,0.9600,0.9016,0.9843
Random list,10,0.9900,0.9455,0.9982
Random list,11,1.0000,0.9630,1.0000
Random list,12,1.0000,0.9630,1.0000
Random list,13,1.0000,0.9630,1.0000
Random list,14,1.0000,0.9630,1.0000
Random list,15,1.0000,0.9630,1.0000
Random list,16,1.0000,0.9630,1.0000
Random list,17,1.0000,0.9630,1.0000
Random list,18,1.0000,0.9630,1.0000
Random list,19,1.0000,0.9630,1.0000
Random list,20,1.0000,0.9630,1.0000
Wrong parity,4,1.0000,0.9630,1.0000
Wrong parity,5,1.0000,0.9630,1.0000
Wrong parity,6,1.0000,0.9630,1.0000
Wrong parity,7,1.0000,0.9630,1.0000
Wrong parity,8,1.0000,0.9630,1.0000
Wrong parity,9,1.0000,0.9630,1.0000
Wrong parity,10,1.0000,0.9630,1.0000
Wrong parity,11,1.0000,0.9630,1.0000
Wrong parity,12,1.0000,0.9630,1.0000
Wrong parity,13,1.0000,0.9630,1.0000
Wrong parity,14,1.0000,0.9630,1.0000
Wrong parity,15,1.0000,0.9630,1.0000
Wrong parity,16,1.0000,0.9630,1.0000
Wrong parity,17,1.0000,0.9630,1.0000
Wrong parity,18,1.0000,0.9630,1.0000
Wrong parity,19,1.0000,0.9630,1.0000
Wrong parity,20,1.0000,0.9630,1.0000
Partial list,4,1.0000,0.9630,1.0000
Partial list,5,1.0000,0.9630,1.0000
Partial list,6,1.0000,0.9630,1.0000
Partial list,7,1.0000,0.9630,1.0000
Partial list,8,1.0000,0.9630,1.0000
Partial list,9,1.0000,0.9630,1.0000
Partial list,10,1.0000,0.9630,1.0000
Partial list,11,1.0000,0.9630,1.0000
Partial list,12,1.0000,0.9630,1.0000
Partial list,13,1.0000,0.9630,1.0000
Partial list,14,1.0000,0.9630,1.0000
Partial list,15,1.0000,0.9630,1.0000
Partial list,16,1.0000,0.9630,1.0000
Partial list,17,1.0000,0.9630,1.0000
Partial list,18,1.0000,0.9630,1.0000
Partial list,19,1.0000,0.9630,1.0000
Partial list,20,1.0000,0.9630,1.0000
Inflated list,4,1.0000,0.9630,1.0000
Inflated list,5,1.0000,0.9630,1.0000
Inflated list,6,1.0000,0.9630,1.0000
Inflated list,7,1.0000,0.9630,1.0000
Inflated list,8,1.0000,0.9630,1.0000
Inflated list,9,1.0000,0.9630,1.0000
Inflated list,10,1.0000,0.9630,1.0000
Inflated list,11,1.0000,0.9630,1.0000
Inflated list,12,1.0000,0.9630,1.0000
Inflated list,13,1.0000,0.9630,1.0000
Inflated list,14,1.0000,0.9630,1.0000
Inflated list,15,1.0000,0.9630,1.0000
Inflated list,16,1.0000,0.9630,1.0000
Inflated list,17,1.0000,0.9630,1.0000
Inflated list,18,1.0000,0.9630,1.0000
Inflated list,19,1.0000,0.9630,1.0000
Inflated list,20,1.0000,0.9630,1.0000
