n,epsilon,min_budget_90pct,threshold_tau,accept_at_50,accept_at_3000,correct_at_50,correct_at_3000
4,0.1,50,0.4887,0.97,0.59,0.97,0.59
4,0.2,50,0.4850,1.00,0.74,1.00,0.74
4,0.3,50,0.4787,0.98,0.83,0.97,0.83
4,0.4,never,0.4700,0.67,0.85,0.67,0.85
4,0.5,3000,0.4587,0.65,0.98,0.65,0.98
5,0.1,50,0.4887,1.00,0.74,0.99,0.74
5,0.2,50,0.4850,1.00,0.79,1.00,0.79
5,0.3,never,0.4787,0.65,0.74,0.65,0.74
5,0.4,3000,0.4700,0.59,0.93,0.59,0.93
5,0.5,3000,0.4587,0.61,1.00,0.61,1.00
6,0.1,50,0.4887,1.00,0.88,0.99,0.88
6,0.2,50,0.4850,0.96,0.72,0.96,0.72
6,0.3,never,0.4787,0.52,0.73,0.52,0.73
6,0.4,never,0.4700,0.56,0.87,0.56,0.87
6,0.5,3000,0.4587,0.78,0.95,0.78,0.95
7,0.1,50,0.4887,1.00,0.98,1.00,0.98
7,0.2,never,0.4850,0.55,0.64,0.55,0.64
7,0.3,never,0.4787,0.59,0.76,0.59,0.76
7,0.4,never,0.4700,0.57,0.87,0.57,0.87
7,0.5,1000,0.4587,0.69,0.98,0.69,0.98
8,0.1,50,0.4887,1.00,0.94,1.00,0.94
8,0.2,never,0.4850,0.60,0.65,0.60,0.65
8,0.3,never,0.4787,0.56,0.71,0.56,0.71
8,0.4,never,0.4700,0.62,0.88,0.62,0.88
8,0.5,3000,0.4587,0.75,0.99,0.75,0.99
9,0.1,50,0.4887,1.00,0.83,1.00,0.83
9,0.2,never,0.4850,0.59,0.64,0.59,0.64
9,0.3,never,0.4787,0.57,0.70,0.57,0.70
9,0.4,never,0.4700,0.58,0.87,0.58,0.87
9,0.5,3000,0.4587,0.67,0.98,0.67,0.98
10,0.1,50,0.4887,0.96,0.64,0.96,0.64
10,0.2,never,0.4850,0.58,0.67,0.58,0.67
10,0.3,never,0.4787,0.60,0.80,0.60,0.80
10,0.4,3000,0.4700,0.63,0.90,0.63,0.90
10,0.5,3000,0.4587,0.72,1.00,0.72,1.00
11,0.1,never,0.4887,0.68,0.57,0.68,0.57
11,0.2,never,0.4850,0.57,0.61,0.57,0.61
11,0.3,never,0.4787,0.51,0.75,0.51,0.75
11,0.4,never,0.4700,0.56,0.87,0.56,0.87
11,0.5,3000,0.4587,0.78,0.96,0.78,0.96
12,0.1,never,0.4887,0.62,0.58,0.62,0.58
12,0.2,never,0.4850,0.61,0.55,0.61,0.55
12,0.3,never,0.4787,0.52,0.70,0.52,0.70
12,0.4,never,0.4700,0.57,0.88,0.57,0.88
12,0.5,3000,0.4587,0.66,0.96,0.66,0.96
13,0.1,never,0.4887,0.57,0.54,0.57,0.54
13,0.2,never,0.4850,0.53,0.62,0.53,0.62
13,0.3,never,0.4787,0.53,0.76,0.53,0.76
13,0.4,never,0.4700,0.54,0.85,0.54,0.85
13,0.5,3000,0.4587,0.72,0.97,0.72,0.97
14,0.1,never,0.4887,0.59,0.47,0.59,0.47
14,0.2,never,0.4850,0.53,0.68,0.53,0.68
14,0.3,never,0.4787,0.48,0.77,0.48,0.77
14,0.4,3000,0.4700,0.58,0.90,0.58,0.90
14,0.5,3000,0.4587,0.60,0.99,0.60,0.99
